,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
61798,2023,SE,FT,Security Engineer,150900,USD,150900,US,100,US,M
61799,2023,MI,FT,Security Analyst,145000,USD,145000,US,0,US,M
61800,2023,MI,FT,Security Analyst,115000,USD,115000,US,0,US,M
61801,2023,SE,FT,Security Engineer,123985,USD,123985,US,0,US,M
61802,2023,SE,FT,Security Engineer,94474,USD,94474,US,0,US,M
61803,2023,SE,FT,DevSecOps Engineer,160000,USD,160000,US,0,US,M
61804,2023,SE,FT,DevSecOps Engineer,130000,USD,130000,US,0,US,M
61805,2023,EN,PT,Information Security Analyst,50000,USD,50000,US,50,US,S
61806,2023,SE,FT,Principal Security Engineer,150000,USD,150000,US,100,US,L
61807,2022,MI,FT,Cyber Threat Analyst,54000,EUR,56736,FR,100,FR,M
61808,2023,SE,FT,Security Engineer,205485,USD,205485,US,100,US,M
61809,2023,SE,FT,Security Engineer,156560,USD,156560,US,100,US,M
61810,2023,SE,FT,Security Engineer,143675,USD,143675,US,100,US,M
61811,2023,SE,FT,Security Engineer,107750,USD,107750,US,100,US,M
61812,2023,SE,FT,Security Engineer,241000,USD,241000,US,100,US,M
61813,2023,SE,FT,Security Engineer,172000,USD,172000,US,100,US,M
61814,2023,SE,FT,Security Engineer,260000,USD,260000,US,0,US,M
61815,2023,SE,FT,Security Engineer,180000,USD,180000,US,0,US,M
61816,2023,SE,FT,Security Engineer,254000,USD,254000,US,0,US,M
61817,2023,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
61818,2023,SE,FT,IAM Engineer,186700,USD,186700,US,100,US,M
61819,2023,SE,FT,IAM Engineer,133000,USD,133000,US,100,US,M
61820,2023,SE,FT,Security Analyst,80000,USD,80000,US,0,US,M
61821,2023,SE,FT,Security Analyst,64000,USD,64000,US,0,US,M
61822,2023,MI,FT,DevSecOps Engineer,120000,USD,120000,US,100,US,M
61823,2023,MI,FT,DevSecOps Engineer,100000,USD,100000,US,100,US,M
61824,2023,SE,FT,Security Engineer,202400,USD,202400,US,100,US,M
61825,2023,SE,FT,Security Engineer,147200,USD,147200,US,100,US,M
61826,2023,SE,FT,Security Engineer,383910,USD,383910,US,0,US,M
61827,2023,SE,FT,Security Engineer,315850,USD,315850,US,0,US,M
61828,2023,SE,FT,Security Engineer,219300,USD,219300,US,0,US,M
61829,2023,SE,FT,Security Engineer,170685,USD,170685,US,0,US,M
61830,2023,MI,FT,Compliance Analyst,113900,USD,113900,US,100,US,M
61831,2023,MI,FT,Compliance Analyst,61300,USD,61300,US,100,US,M
61832,2023,SE,FT,Security Engineer,329500,USD,329500,US,0,US,M
61833,2023,SE,FT,Security Engineer,269600,USD,269600,US,0,US,M
61834,2023,SE,FT,Security Engineer,225000,USD,225000,US,0,US,M
61835,2023,SE,FT,Security Engineer,156400,USD,156400,US,0,US,M
61836,2023,SE,FT,Security Researcher,225500,USD,225500,US,0,US,M
61837,2023,SE,FT,Security Researcher,139400,USD,139400,US,0,US,M
61838,2023,SE,FT,Security Engineer,247500,USD,247500,US,0,US,M
61839,2023,SE,FT,Security Engineer,153000,USD,153000,US,0,US,M
61840,2023,SE,FT,Information Security Officer,150000,USD,150000,US,0,US,L
61841,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
61842,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
61843,2023,SE,FT,Security Analyst,60000,GBP,73824,GB,0,GB,M
61844,2023,SE,FT,Security Analyst,50000,GBP,61520,GB,0,GB,M
61845,2023,SE,FT,Security Engineer,204500,USD,204500,US,0,US,M
61846,2023,SE,FT,Security Engineer,142200,USD,142200,US,0,US,M
61847,2023,SE,FT,Security Architect,75000,GBP,92280,GB,0,GB,M
61848,2023,SE,FT,Security Architect,65000,GBP,79976,GB,0,GB,M
61849,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
61850,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
61851,2023,SE,FT,Security Engineer,247500,USD,247500,US,0,US,M
61852,2023,SE,FT,Security Engineer,153000,USD,153000,US,0,US,M
61853,2023,SE,FT,Cyber Security Analyst,474000,SEK,45269,SE,100,SE,L
61854,2023,SE,FT,Security Consultant,90000,EUR,97171,DE,0,DE,S
61855,2023,SE,FT,Security Consultant,60000,EUR,64781,DE,0,DE,S
61856,2023,SE,FT,Security Engineer,229100,USD,229100,US,0,US,M
61857,2023,SE,FT,Security Engineer,205400,USD,205400,US,0,US,M
61858,2023,SE,FT,Security Engineer,272300,USD,272300,US,0,US,M
61859,2023,SE,FT,Security Engineer,189400,USD,189400,US,0,US,M
61860,2023,SE,FT,Security Engineer,230000,USD,230000,US,0,US,M
61861,2023,SE,FT,Security Engineer,145000,USD,145000,US,0,US,M
61862,2023,SE,FT,Security Engineer,218600,USD,218600,US,100,US,M
61863,2023,SE,FT,Security Engineer,145700,USD,145700,US,100,US,M
61864,2023,SE,FT,Security Architect,210800,USD,210800,US,100,US,M
61865,2023,SE,FT,Security Architect,137000,USD,137000,US,100,US,M
61866,2023,SE,FT,Security Engineer,225000,USD,225000,US,0,US,M
61867,2023,SE,FT,Security Engineer,156400,USD,156400,US,0,US,M
61868,2023,EX,FT,Security Analyst,110000,USD,110000,US,0,US,M
61869,2023,EX,FT,Security Analyst,90000,USD,90000,US,0,US,M
61870,2023,SE,FT,Security Engineer,174136,USD,174136,US,100,US,M
61871,2023,SE,FT,Security Engineer,139309,USD,139309,US,100,US,M
61872,2023,SE,FT,Security Engineer,220000,USD,220000,US,0,US,M
61873,2023,SE,FT,Security Engineer,160000,USD,160000,US,0,US,M
61874,2023,SE,FT,Security Engineer,123000,USD,123000,US,0,US,M
61875,2023,SE,FT,Security Engineer,82425,USD,82425,US,0,US,M
61876,2023,SE,FT,Security Engineer,352000,USD,352000,US,0,US,M
61877,2023,SE,FT,Security Engineer,220000,USD,220000,US,0,US,M
61878,2023,SE,FT,Security Engineer,383910,USD,383910,US,0,US,M
61879,2023,SE,FT,Security Engineer,315850,USD,315850,US,0,US,M
61880,2023,MI,FT,Cyber Security Engineer,95000,USD,95000,US,100,US,L
61881,2023,MI,FT,DevSecOps Engineer,120000,USD,120000,US,100,US,M
61882,2023,MI,FT,DevSecOps Engineer,100000,USD,100000,US,100,US,M
61883,2023,MI,FT,Security Analyst,145000,USD,145000,US,0,US,M
61884,2023,MI,FT,Security Analyst,115000,USD,115000,US,0,US,M
61885,2023,EN,FT,Security Analyst,100000,USD,100000,US,0,US,M
61886,2023,EN,FT,Security Analyst,90000,USD,90000,US,0,US,M
61887,2023,MI,FT,Security Engineer,125000,USD,125000,US,100,US,M
61888,2023,MI,FT,Security Engineer,115000,USD,115000,US,100,US,M
61889,2023,MI,FT,Security Analyst,175600,USD,175600,US,0,US,M
61890,2023,MI,FT,Security Analyst,117000,USD,117000,US,0,US,M
61891,2023,SE,FT,Security Engineer,160000,USD,160000,US,100,US,M
61892,2023,SE,FT,Security Engineer,140000,USD,140000,US,100,US,M
61893,2023,SE,FT,DevSecOps Engineer,160000,USD,160000,US,0,US,M
61894,2023,SE,FT,DevSecOps Engineer,130000,USD,130000,US,0,US,M
61895,2023,SE,FT,Security Engineer,230000,USD,230000,US,100,US,M
61896,2023,SE,FT,Security Engineer,107000,USD,107000,US,100,US,M
61897,2023,SE,FT,Security Engineer,168400,USD,168400,US,0,US,M
61898,2023,SE,FT,Security Engineer,90700,USD,90700,US,0,US,M
61899,2023,EX,FT,Director of Information Security,228700,USD,228700,US,100,US,M
61900,2023,EX,FT,Director of Information Security,171500,USD,171500,US,100,US,M
61901,2023,SE,FT,Security Engineer,168400,USD,168400,US,0,US,M
61902,2023,SE,FT,Security Engineer,105200,USD,105200,US,0,US,M
61903,2023,SE,FT,Security Engineer,267100,USD,267100,US,0,US,M
61904,2023,SE,FT,Security Engineer,188500,USD,188500,US,0,US,M
61905,2023,SE,FT,Security Engineer,225000,USD,225000,US,0,US,M
61906,2023,SE,FT,Security Engineer,156400,USD,156400,US,0,US,M
61907,2023,SE,FT,Security Engineer,329500,USD,329500,US,0,US,M
61908,2023,SE,FT,Security Engineer,269600,USD,269600,US,0,US,M
61909,2023,EN,FT,Penetration Tester,41000,EUR,44267,FR,50,FR,M
61910,2023,SE,PT,Information Security Engineer,200000,USD,200000,US,100,US,L
61911,2023,SE,FT,Security Engineer,220000,USD,220000,US,0,US,M
61912,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,M
61913,2023,SE,FT,Security Engineer,145800,USD,145800,GB,100,GB,M
61914,2023,SE,FT,Security Engineer,135000,USD,135000,GB,100,GB,M
61915,2023,SE,FT,Security Architect,212863,USD,212863,US,100,US,M
61916,2023,SE,FT,Security Architect,146703,USD,146703,US,100,US,M
61917,2023,SE,FT,Security Engineer,260000,USD,260000,US,100,US,M
61918,2023,SE,FT,Security Engineer,244000,USD,244000,US,100,US,M
61919,2023,SE,FT,Compliance Analyst,180000,USD,180000,GB,100,GB,M
61920,2023,SE,FT,Compliance Analyst,165000,USD,165000,GB,100,GB,M
61921,2023,SE,FT,Security Engineer,243200,USD,243200,GB,0,GB,M
61922,2023,SE,FT,Security Engineer,162200,USD,162200,GB,0,GB,M
61923,2023,SE,FT,Security Engineer,204500,USD,204500,US,0,US,M
61924,2023,SE,FT,Security Engineer,142200,USD,142200,US,0,US,M
61925,2023,SE,FT,Security Engineer,230000,USD,230000,US,0,US,M
61926,2023,SE,FT,Security Engineer,185000,USD,185000,US,0,US,M
61927,2023,SE,FT,Security Engineer,155000,USD,155000,US,100,US,M
61928,2023,SE,FT,Security Engineer,88000,USD,88000,US,100,US,M
61929,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
61930,2023,SE,FT,Security Engineer,135500,USD,135500,US,0,US,L
61931,2023,SE,FT,Security Engineer,236900,USD,236900,US,0,US,L
61932,2023,SE,FT,Security Engineer,175100,USD,175100,US,0,US,L
61933,2023,MI,FT,Security Analyst,118100,USD,118100,US,0,US,L
61934,2023,MI,FT,Security Analyst,46900,USD,46900,US,0,US,L
61935,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
61936,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
