Country Name,Country Code,Population,GDP
Saudi Arabia,SAU,35300280,35057.2252306969
Sudan,SDN,50448963,989.312866210938
Senegal,SEN,18501984,1743.98888384359
Singapore,SGP,6036860,90674.066632628
Solomon Islands,SLB,819198,2149.37957267304
Sierra Leone,SLE,8642022,873.388575182318
El Salvador,SLV,6338193,5579.65969165029
San Marino,SMR,33977,0.0
"Somalia, Fed. Rep.",SOM,19009151,636.983477589273
Serbia,SRB,6587202,13523.7246826854
South Sudan,SSD,11943408,0.0
Sao Tome and Principe,STP,235536,3244.82899741459
Suriname,SUR,634431,7430.70219176443
Slovak Republic,SVK,5422069,26147.9028430133
Slovenia,SVN,2126324,34089.3527652778
Sweden,SWE,10569709,57723.2345031532
Eswatini,SWZ,1242822,3936.10969242371
Seychelles,SYC,121354,17858.8226383978
Syrian Arab Republic,SYR,24672760,0.0
Chad,TCD,20299123,1016.08880662712
Togo,TGO,9515236,1043.14092889765
Thailand,THA,71668011,7345.13569000377
Tajikistan,TJK,10590927,1341.20229027672
Turkmenistan,TKM,7494498,8571.60702949432
Timor-Leste,TLS,1400638,1343.14886031844
Tonga,TON,104175,0.0
Trinidad and Tobago,TTO,1368333,19314.7163432664
Tunisia,TUN,12277109,4350.3717971875
Turkiye,TUR,85518661,15473.2872636856
Tuvalu,TUV,9646,0.0
Tanzania,TZA,68560157,1185.74548339844
Uganda,UGA,50015092,1072.71369837695
Ukraine,UKR,37860221,5389.47314453125
Uruguay,URY,3386588,23906.5133029408
United States,USA,340110988,85809.9003846356
Uzbekistan,UZB,36361859,3161.70010632875
St. Vincent and the Grenadines,VCT,100616,11501.2265187188
"Venezuela, RB",VEN,28405543,0.0
Viet Nam,VNM,100987686,4717.29028732449
Vanuatu,VUT,327777,3542.81071592874
Samoa,WSM,218019,4898.77140817676
"Yemen, Rep.",YEM,40583164,0.0
South Africa,ZAF,64007187,6253.37158194543
Zambia,ZMB,21314956,1235.08466482514
Zimbabwe,ZWE,16634373,2656.40937654332
