date,country,keyword,interest
2023-07-30,BR,Bitcoin,62
2023-08-06,BR,Bitcoin,61
2023-08-13,BR,Bitcoin,67
2023-08-20,BR,Bitcoin,61
2023-08-27,BR,Bitcoin,63
2023-09-03,BR,Bitcoin,62
2023-09-10,BR,Bitcoin,56
2023-09-17,BR,Bitcoin,58
2023-09-24,BR,Bitcoin,47
2023-10-01,BR,Bitcoin,47
2023-10-08,BR,Bitcoin,57
2023-10-15,BR,Bitcoin,50
2023-10-22,BR,Bitcoin,60
2023-10-29,BR,Bitcoin,56
2023-11-05,BR,Bitcoin,55
2023-11-12,BR,Bitcoin,58
2023-11-19,BR,Bitcoin,50
2023-11-26,BR,Bitcoin,49
2023-12-03,BR,Bitcoin,60
2023-12-10,BR,Bitcoin,58
2023-12-17,BR,Bitcoin,57
2023-12-24,BR,Bitcoin,62
2023-12-31,BR,Bitcoin,57
2024-01-07,BR,Bitcoin,75
2024-01-14,BR,Bitcoin,56
2024-01-21,BR,Bitcoin,52
2024-01-28,BR,Bitcoin,40
2024-02-04,BR,Bitcoin,39
2024-02-11,BR,Bitcoin,52
2024-02-18,BR,Bitcoin,44
2024-02-25,BR,Bitcoin,64
2024-03-03,BR,Bitcoin,75
2024-03-10,BR,Bitcoin,74
2024-03-17,BR,Bitcoin,63
2024-03-24,BR,Bitcoin,57
2024-03-31,BR,Bitcoin,54
2024-04-07,BR,Bitcoin,53
2024-04-14,BR,Bitcoin,73
2024-04-21,BR,Bitcoin,55
2024-04-28,BR,Bitcoin,54
2024-05-05,BR,Bitcoin,44
2024-05-12,BR,Bitcoin,44
2024-05-19,BR,Bitcoin,49
2024-05-26,BR,Bitcoin,42
2024-06-02,BR,Bitcoin,44
2024-06-09,BR,Bitcoin,43
2024-06-16,BR,Bitcoin,41
2024-06-23,BR,Bitcoin,40
2024-06-30,BR,Bitcoin,45
2024-07-07,BR,Bitcoin,43
2024-07-14,BR,Bitcoin,49
2024-07-21,BR,Bitcoin,48
2024-07-28,BR,Bitcoin,46
2024-08-04,BR,Bitcoin,68
2024-08-11,BR,Bitcoin,43
2024-08-18,BR,Bitcoin,40
2024-08-25,BR,Bitcoin,40
2024-09-01,BR,Bitcoin,42
2024-09-08,BR,Bitcoin,41
2024-09-15,BR,Bitcoin,40
2024-09-22,BR,Bitcoin,38
2024-09-29,BR,Bitcoin,36
2024-10-06,BR,Bitcoin,33
2024-10-13,BR,Bitcoin,33
2024-10-20,BR,Bitcoin,35
2024-10-27,BR,Bitcoin,48
2024-11-03,BR,Bitcoin,67
2024-11-10,BR,Bitcoin,100
2024-11-17,BR,Bitcoin,75
2024-11-24,BR,Bitcoin,65
2024-12-01,BR,Bitcoin,72
2024-12-08,BR,Bitcoin,62
2024-12-15,BR,Bitcoin,85
2024-12-22,BR,Bitcoin,80
2024-12-29,BR,Bitcoin,49
2025-01-05,BR,Bitcoin,50
2025-01-12,BR,Bitcoin,43
2025-01-19,BR,Bitcoin,49
2025-01-26,BR,Bitcoin,33
2025-02-02,BR,Bitcoin,34
2025-02-09,BR,Bitcoin,23
2025-02-16,BR,Bitcoin,22
2025-02-23,BR,Bitcoin,35
2025-03-02,BR,Bitcoin,34
2025-03-09,BR,Bitcoin,32
2025-03-16,BR,Bitcoin,22
2025-03-23,BR,Bitcoin,19
2025-03-30,BR,Bitcoin,21
2025-04-06,BR,Bitcoin,28
2025-04-13,BR,Bitcoin,19
2025-04-20,BR,Bitcoin,23
2025-04-27,BR,Bitcoin,21
2025-05-04,BR,Bitcoin,25
2025-05-11,BR,Bitcoin,24
2025-05-18,BR,Bitcoin,33
2025-05-25,BR,Bitcoin,29
2025-06-01,BR,Bitcoin,23
2025-06-08,BR,Bitcoin,26
2025-06-15,BR,Bitcoin,22
2025-06-22,BR,Bitcoin,25
2025-06-29,BR,Bitcoin,22
2025-07-06,BR,Bitcoin,34
2025-07-13,BR,Bitcoin,36
2025-07-20,BR,Bitcoin,30
2025-07-27,BR,Bitcoin,26
2025-08-03,BR,Bitcoin,24
2025-08-10,BR,Bitcoin,27
2025-08-17,BR,Bitcoin,25
2025-08-24,BR,Bitcoin,25
2025-08-31,BR,Bitcoin,24
2025-09-07,BR,Bitcoin,28
2025-09-14,BR,Bitcoin,24
2025-09-21,BR,Bitcoin,24
2025-09-28,BR,Bitcoin,24
2025-10-05,BR,Bitcoin,32
2020-10-11,BR,Ethereum,1
2020-10-18,BR,Ethereum,1
2020-10-25,BR,Ethereum,1
2020-11-01,BR,Ethereum,1
2020-11-08,BR,Ethereum,1
2020-11-15,BR,Ethereum,1
2020-11-22,BR,Ethereum,2
2020-11-29,BR,Ethereum,2
2020-12-06,BR,Ethereum,1
2020-12-13,BR,Ethereum,2
2020-12-20,BR,Ethereum,1
2020-12-27,BR,Ethereum,3
2021-01-03,BR,Ethereum,7
2021-01-10,BR,Ethereum,6
2021-01-17,BR,Ethereum,5
2021-01-24,BR,Ethereum,5
2021-01-31,BR,Ethereum,6
2021-02-07,BR,Ethereum,7
2021-02-14,BR,Ethereum,6
2021-02-21,BR,Ethereum,6
2021-02-28,BR,Ethereum,5
2021-03-07,BR,Ethereum,6
2021-03-14,BR,Ethereum,5
2021-03-21,BR,Ethereum,4
2021-03-28,BR,Ethereum,5
2021-04-04,BR,Ethereum,5
2021-04-11,BR,Ethereum,9
2021-04-18,BR,Ethereum,7
2021-04-25,BR,Ethereum,6
2021-05-02,BR,Ethereum,12
2021-05-09,BR,Ethereum,14
2021-05-16,BR,Ethereum,13
2021-05-23,BR,Ethereum,10
2021-05-30,BR,Ethereum,7
2021-06-06,BR,Ethereum,6
2021-06-13,BR,Ethereum,5
2021-06-20,BR,Ethereum,5
2021-06-27,BR,Ethereum,5
2021-07-04,BR,Ethereum,5
2021-07-11,BR,Ethereum,5
2021-07-18,BR,Ethereum,5
2021-07-25,BR,Ethereum,6
2021-08-01,BR,Ethereum,9
2021-08-08,BR,Ethereum,9
2021-08-15,BR,Ethereum,7
2021-08-22,BR,Ethereum,7
2021-08-29,BR,Ethereum,7
2021-09-05,BR,Ethereum,7
2021-09-12,BR,Ethereum,5
2021-09-19,BR,Ethereum,5
2021-09-26,BR,Ethereum,5
2021-10-03,BR,Ethereum,6
2021-10-10,BR,Ethereum,6
2021-10-17,BR,Ethereum,7
2021-10-24,BR,Ethereum,6
2021-10-31,BR,Ethereum,6
2021-11-07,BR,Ethereum,6
2021-11-14,BR,Ethereum,6
2021-11-21,BR,Ethereum,5
2021-11-28,BR,Ethereum,6
2021-12-05,BR,Ethereum,6
2021-12-12,BR,Ethereum,6
2021-12-19,BR,Ethereum,6
2021-12-26,BR,Ethereum,6
2022-01-02,BR,Ethereum,8
2022-01-09,BR,Ethereum,8
2022-01-16,BR,Ethereum,7
2022-01-23,BR,Ethereum,11
2022-01-30,BR,Ethereum,8
2022-02-06,BR,Ethereum,8
2022-02-13,BR,Ethereum,8
2022-02-20,BR,Ethereum,9
2022-02-27,BR,Ethereum,8
2022-03-06,BR,Ethereum,5
2022-03-13,BR,Ethereum,6
2022-03-20,BR,Ethereum,6
2022-03-27,BR,Ethereum,7
2022-04-03,BR,Ethereum,6
2022-04-10,BR,Ethereum,5
2022-04-17,BR,Ethereum,5
2022-04-24,BR,Ethereum,5
2022-05-01,BR,Ethereum,4
2022-05-08,BR,Ethereum,7
2022-05-15,BR,Ethereum,5
2022-05-22,BR,Ethereum,5
2022-05-29,BR,Ethereum,5
2022-06-05,BR,Ethereum,5
2022-06-12,BR,Ethereum,10
2022-06-19,BR,Ethereum,8
2022-06-26,BR,Ethereum,6
2022-07-03,BR,Ethereum,6
2022-07-10,BR,Ethereum,6
2022-07-17,BR,Ethereum,11
2022-07-24,BR,Ethereum,10
2022-07-31,BR,Ethereum,7
2022-08-07,BR,Ethereum,8
2022-08-14,BR,Ethereum,8
2022-08-21,BR,Ethereum,7
2022-08-28,BR,Ethereum,6
2022-09-04,BR,Ethereum,7
2022-09-11,BR,Ethereum,11
2022-09-18,BR,Ethereum,9
2022-09-25,BR,Ethereum,5
2022-10-02,BR,Ethereum,4
2022-10-09,BR,Ethereum,4
2022-10-16,BR,Ethereum,4
2022-10-23,BR,Ethereum,5
2022-10-30,BR,Ethereum,5
2022-11-06,BR,Ethereum,6
2022-11-13,BR,Ethereum,6
2022-11-20,BR,Ethereum,4
2022-11-27,BR,Ethereum,4
2022-12-04,BR,Ethereum,3
2022-12-11,BR,Ethereum,4
2022-12-18,BR,Ethereum,4
2022-12-25,BR,Ethereum,3
2023-01-01,BR,Ethereum,4
2023-01-08,BR,Ethereum,5
2023-01-15,BR,Ethereum,6
2023-01-22,BR,Ethereum,5
2023-01-29,BR,Ethereum,4
2023-02-05,BR,Ethereum,4
2023-02-12,BR,Ethereum,4
2023-02-19,BR,Ethereum,4
2023-02-26,BR,Ethereum,4
2023-03-05,BR,Ethereum,4
2023-03-12,BR,Ethereum,5
2023-03-19,BR,Ethereum,5
2023-03-26,BR,Ethereum,4
2023-04-02,BR,Ethereum,4
2023-04-09,BR,Ethereum,4
2023-04-16,BR,Ethereum,4
2023-04-23,BR,Ethereum,4
2023-04-30,BR,Ethereum,3
2023-05-07,BR,Ethereum,3
2023-05-14,BR,Ethereum,3
2023-05-21,BR,Ethereum,2
2023-05-28,BR,Ethereum,3
2023-06-04,BR,Ethereum,3
2023-06-11,BR,Ethereum,3
2023-06-18,BR,Ethereum,3
2023-06-25,BR,Ethereum,3
2023-07-02,BR,Ethereum,3
2023-07-09,BR,Ethereum,3
2023-07-16,BR,Ethereum,2
2023-07-23,BR,Ethereum,2
2023-07-30,BR,Ethereum,2
2023-08-06,BR,Ethereum,2
2023-08-13,BR,Ethereum,3
2023-08-20,BR,Ethereum,2
2023-08-27,BR,Ethereum,2
2023-09-03,BR,Ethereum,2
2023-09-10,BR,Ethereum,2
2023-09-17,BR,Ethereum,2
2023-09-24,BR,Ethereum,2
2023-10-01,BR,Ethereum,2
2023-10-08,BR,Ethereum,2
2023-10-15,BR,Ethereum,2
2023-10-22,BR,Ethereum,3
2023-10-29,BR,Ethereum,2
2023-11-05,BR,Ethereum,3
2023-11-12,BR,Ethereum,3
2023-11-19,BR,Ethereum,3
2023-11-26,BR,Ethereum,2
2023-12-03,BR,Ethereum,4
2023-12-10,BR,Ethereum,3
2023-12-17,BR,Ethereum,3
2023-12-24,BR,Ethereum,3
2023-12-31,BR,Ethereum,4
2024-01-07,BR,Ethereum,5
2024-01-14,BR,Ethereum,4
2024-01-21,BR,Ethereum,3
2024-01-28,BR,Ethereum,3
