date,country,keyword,interest
2023-07-30,MX,Bitcoin,19
2023-08-06,MX,Bitcoin,22
2023-08-13,MX,Bitcoin,24
2023-08-20,MX,Bitcoin,20
2023-08-27,MX,Bitcoin,18
2023-09-03,MX,Bitcoin,18
2023-09-10,MX,Bitcoin,18
2023-09-17,MX,Bitcoin,16
2023-09-24,MX,Bitcoin,15
2023-10-01,MX,Bitcoin,16
2023-10-08,MX,Bitcoin,16
2023-10-15,MX,Bitcoin,18
2023-10-22,MX,Bitcoin,28
2023-10-29,MX,Bitcoin,24
2023-11-05,MX,Bitcoin,22
2023-11-12,MX,Bitcoin,20
2023-11-19,MX,Bitcoin,19
2023-11-26,MX,Bitcoin,18
2023-12-03,MX,Bitcoin,27
2023-12-10,MX,Bitcoin,23
2023-12-17,MX,Bitcoin,22
2023-12-24,MX,Bitcoin,23
2023-12-31,MX,Bitcoin,29
2024-01-07,MX,Bitcoin,39
2024-01-14,MX,Bitcoin,25
2024-01-21,MX,Bitcoin,22
2024-01-28,MX,Bitcoin,18
2024-02-04,MX,Bitcoin,20
2024-02-11,MX,Bitcoin,27
2024-02-18,MX,Bitcoin,21
2024-02-25,MX,Bitcoin,41
2024-03-03,MX,Bitcoin,47
2024-03-10,MX,Bitcoin,41
2024-03-17,MX,Bitcoin,34
2024-03-24,MX,Bitcoin,34
2024-03-31,MX,Bitcoin,32
2024-04-07,MX,Bitcoin,28
2024-04-14,MX,Bitcoin,37
2024-04-21,MX,Bitcoin,24
2024-04-28,MX,Bitcoin,25
2024-05-05,MX,Bitcoin,22
2024-05-12,MX,Bitcoin,21
2024-05-19,MX,Bitcoin,20
2024-05-26,MX,Bitcoin,18
2024-06-02,MX,Bitcoin,22
2024-06-09,MX,Bitcoin,21
2024-06-16,MX,Bitcoin,20
2024-06-23,MX,Bitcoin,20
2024-06-30,MX,Bitcoin,22
2024-07-07,MX,Bitcoin,21
2024-07-14,MX,Bitcoin,24
2024-07-21,MX,Bitcoin,25
2024-07-28,MX,Bitcoin,24
2024-08-04,MX,Bitcoin,40
2024-08-11,MX,Bitcoin,23
2024-08-18,MX,Bitcoin,22
2024-08-25,MX,Bitcoin,21
2024-09-01,MX,Bitcoin,21
2024-09-08,MX,Bitcoin,20
2024-09-15,MX,Bitcoin,18
2024-09-22,MX,Bitcoin,18
2024-09-29,MX,Bitcoin,19
2024-10-06,MX,Bitcoin,18
2024-10-13,MX,Bitcoin,17
2024-10-20,MX,Bitcoin,19
2024-10-27,MX,Bitcoin,23
2024-11-03,MX,Bitcoin,36
2024-11-10,MX,Bitcoin,55
2024-11-17,MX,Bitcoin,46
2024-11-24,MX,Bitcoin,39
2024-12-01,MX,Bitcoin,43
2024-12-08,MX,Bitcoin,36
2024-12-15,MX,Bitcoin,43
2024-12-22,MX,Bitcoin,41
2024-12-29,MX,Bitcoin,38
2025-01-05,MX,Bitcoin,34
2025-01-12,MX,Bitcoin,34
2025-01-19,MX,Bitcoin,41
2025-01-26,MX,Bitcoin,31
2025-02-02,MX,Bitcoin,33
2025-02-09,MX,Bitcoin,23
2025-02-16,MX,Bitcoin,25
2025-02-23,MX,Bitcoin,34
2025-03-02,MX,Bitcoin,35
2025-03-09,MX,Bitcoin,31
2025-03-16,MX,Bitcoin,24
2025-03-23,MX,Bitcoin,20
2025-03-30,MX,Bitcoin,24
2025-04-06,MX,Bitcoin,35
2025-04-13,MX,Bitcoin,22
2025-04-20,MX,Bitcoin,27
2025-04-27,MX,Bitcoin,22
2025-05-04,MX,Bitcoin,22
2025-05-11,MX,Bitcoin,21
2025-05-18,MX,Bitcoin,28
2025-05-25,MX,Bitcoin,23
2025-06-01,MX,Bitcoin,19
2025-06-08,MX,Bitcoin,22
2025-06-15,MX,Bitcoin,23
2025-06-22,MX,Bitcoin,24
2025-06-29,MX,Bitcoin,20
2025-07-06,MX,Bitcoin,26
2025-07-13,MX,Bitcoin,33
2025-07-20,MX,Bitcoin,25
2025-07-27,MX,Bitcoin,23
2025-08-03,MX,Bitcoin,21
2025-08-10,MX,Bitcoin,24
2025-08-17,MX,Bitcoin,21
2025-08-24,MX,Bitcoin,23
2025-08-31,MX,Bitcoin,19
2025-09-07,MX,Bitcoin,17
2025-09-14,MX,Bitcoin,16
2025-09-21,MX,Bitcoin,16
2025-09-28,MX,Bitcoin,18
2025-10-05,MX,Bitcoin,22
2020-10-11,MX,Ether,1
2020-10-18,MX,Ether,0
2020-10-25,MX,Ether,0
2020-11-01,MX,Ether,1
2020-11-08,MX,Ether,0
2020-11-15,MX,Ether,1
2020-11-22,MX,Ether,1
2020-11-29,MX,Ether,1
2020-12-06,MX,Ether,0
2020-12-13,MX,Ether,1
2020-12-20,MX,Ether,1
2020-12-27,MX,Ether,1
2021-01-03,MX,Ether,2
2021-01-10,MX,Ether,1
2021-01-17,MX,Ether,1
2021-01-24,MX,Ether,1
2021-01-31,MX,Ether,1
2021-02-07,MX,Ether,1
2021-02-14,MX,Ether,2
2021-02-21,MX,Ether,2
2021-02-28,MX,Ether,1
2021-03-07,MX,Ether,1
2021-03-14,MX,Ether,1
2021-03-21,MX,Ether,1
2021-03-28,MX,Ether,1
2021-04-04,MX,Ether,2
2021-04-11,MX,Ether,1
2021-04-18,MX,Ether,1
2021-04-25,MX,Ether,1
2021-05-02,MX,Ether,2
2021-05-09,MX,Ether,2
2021-05-16,MX,Ether,2
2021-05-23,MX,Ether,1
2021-05-30,MX,Ether,1
2021-06-06,MX,Ether,1
2021-06-13,MX,Ether,1
2021-06-20,MX,Ether,1
2021-06-27,MX,Ether,1
2021-07-04,MX,Ether,1
2021-07-11,MX,Ether,1
2021-07-18,MX,Ether,1
2021-07-25,MX,Ether,1
2021-08-01,MX,Ether,1
2021-08-08,MX,Ether,1
2021-08-15,MX,Ether,1
2021-08-22,MX,Ether,1
2021-08-29,MX,Ether,1
2021-09-05,MX,Ether,1
2021-09-12,MX,Ether,1
2021-09-19,MX,Ether,1
2021-09-26,MX,Ether,1
2021-10-03,MX,Ether,2
2021-10-10,MX,Ether,2
2021-10-17,MX,Ether,1
2021-10-24,MX,Ether,1
2021-10-31,MX,Ether,2
2021-11-07,MX,Ether,1
2021-11-14,MX,Ether,1
2021-11-21,MX,Ether,1
2021-11-28,MX,Ether,1
2021-12-05,MX,Ether,1
2021-12-12,MX,Ether,1
2021-12-19,MX,Ether,1
2021-12-26,MX,Ether,1
2022-01-02,MX,Ether,1
2022-01-09,MX,Ether,1
2022-01-16,MX,Ether,1
2022-01-23,MX,Ether,1
2022-01-30,MX,Ether,1
2022-02-06,MX,Ether,1
2022-02-13,MX,Ether,1
2022-02-20,MX,Ether,1
2022-02-27,MX,Ether,1
2022-03-06,MX,Ether,1
2022-03-13,MX,Ether,1
2022-03-20,MX,Ether,1
2022-03-27,MX,Ether,1
2022-04-03,MX,Ether,1
2022-04-10,MX,Ether,1
2022-04-17,MX,Ether,1
2022-04-24,MX,Ether,1
2022-05-01,MX,Ether,1
2022-05-08,MX,Ether,1
2022-05-15,MX,Ether,1
2022-05-22,MX,Ether,1
2022-05-29,MX,Ether,1
2022-06-05,MX,Ether,1
2022-06-12,MX,Ether,1
2022-06-19,MX,Ether,1
2022-06-26,MX,Ether,1
2022-07-03,MX,Ether,1
2022-07-10,MX,Ether,1
2022-07-17,MX,Ether,1
2022-07-24,MX,Ether,1
2022-07-31,MX,Ether,1
2022-08-07,MX,Ether,1
2022-08-14,MX,Ether,1
2022-08-21,MX,Ether,1
2022-08-28,MX,Ether,1
2022-09-04,MX,Ether,1
2022-09-11,MX,Ether,1
2022-09-18,MX,Ether,1
2022-09-25,MX,Ether,1
2022-10-02,MX,Ether,1
2022-10-09,MX,Ether,1
2022-10-16,MX,Ether,1
2022-10-23,MX,Ether,1
2022-10-30,MX,Ether,1
2022-11-06,MX,Ether,1
2022-11-13,MX,Ether,1
2022-11-20,MX,Ether,1
2022-11-27,MX,Ether,1
2022-12-04,MX,Ether,1
2022-12-11,MX,Ether,1
2022-12-18,MX,Ether,1
2022-12-25,MX,Ether,1
2023-01-01,MX,Ether,1
2023-01-08,MX,Ether,1
2023-01-15,MX,Ether,1
2023-01-22,MX,Ether,1
2023-01-29,MX,Ether,1
2023-02-05,MX,Ether,1
2023-02-12,MX,Ether,1
2023-02-19,MX,Ether,1
2023-02-26,MX,Ether,1
2023-03-05,MX,Ether,1
2023-03-12,MX,Ether,1
2023-03-19,MX,Ether,1
2023-03-26,MX,Ether,1
2023-04-02,MX,Ether,1
2023-04-09,MX,Ether,1
2023-04-16,MX,Ether,1
2023-04-23,MX,Ether,1
2023-04-30,MX,Ether,1
2023-05-07,MX,Ether,1
2023-05-14,MX,Ether,1
2023-05-21,MX,Ether,1
2023-05-28,MX,Ether,1
2023-06-04,MX,Ether,1
2023-06-11,MX,Ether,1
2023-06-18,MX,Ether,1
2023-06-25,MX,Ether,1
2023-07-02,MX,Ether,1
2023-07-09,MX,Ether,1
2023-07-16,MX,Ether,1
2023-07-23,MX,Ether,1
2023-07-30,MX,Ether,1
2023-08-06,MX,Ether,1
2023-08-13,MX,Ether,1
2023-08-20,MX,Ether,1
2023-08-27,MX,Ether,1
2023-09-03,MX,Ether,1
2023-09-10,MX,Ether,1
2023-09-17,MX,Ether,1
2023-09-24,MX,Ether,1
2023-10-01,MX,Ether,1
2023-10-08,MX,Ether,1
2023-10-15,MX,Ether,1
2023-10-22,MX,Ether,1
2023-10-29,MX,Ether,1
2023-11-05,MX,Ether,1
2023-11-12,MX,Ether,1
2023-11-19,MX,Ether,1
2023-11-26,MX,Ether,1
2023-12-03,MX,Ether,1
2023-12-10,MX,Ether,1
2023-12-17,MX,Ether,1
2023-12-24,MX,Ether,1
2023-12-31,MX,Ether,1
2024-01-07,MX,Ether,1
2024-01-14,MX,Ether,1
2024-01-21,MX,Ether,1
2024-01-28,MX,Ether,1
2024-02-04,MX,Ether,1
2024-02-11,MX,Ether,1
2024-02-18,MX,Ether,1
2024-02-25,MX,Ether,1
2024-03-03,MX,Ether,1
2024-03-10,MX,Ether,1
2024-03-17,MX,Ether,1
2024-03-24,MX,Ether,1
2024-03-31,MX,Ether,1
2024-04-07,MX,Ether,0
2024-04-14,MX,Ether,1
2024-04-21,MX,Ether,1
2024-04-28,MX,Ether,1
2024-05-05,MX,Ether,1
2024-05-12,MX,Ether,1
2024-05-19,MX,Ether,1
2024-05-26,MX,Ether,1
2024-06-02,MX,Ether,1
2024-06-09,MX,Ether,1
2024-06-16,MX,Ether,1
2024-06-23,MX,Ether,1
2024-06-30,MX,Ether,1
2024-07-07,MX,Ether,1
2024-07-14,MX,Ether,1
2024-07-21,MX,Ether,1
2024-07-28,MX,Ether,1
2024-08-04,MX,Ether,1
2024-08-11,MX,Ether,1
2024-08-18,MX,Ether,1
2024-08-25,MX,Ether,1
2024-09-01,MX,Ether,1
2024-09-08,MX,Ether,1
2024-09-15,MX,Ether,1
2024-09-22,MX,Ether,1
2024-09-29,MX,Ether,1
2024-10-06,MX,Ether,1
2024-10-13,MX,Ether,1
2024-10-20,MX,Ether,1
2024-10-27,MX,Ether,1
2024-11-03,MX,Ether,1
2024-11-10,MX,Ether,1
2024-11-17,MX,Ether,1
2024-11-24,MX,Ether,1
2024-12-01,MX,Ether,1
2024-12-08,MX,Ether,1
2024-12-15,MX,Ether,1
2024-12-22,MX,Ether,1
2024-12-29,MX,Ether,1
2025-01-05,MX,Ether,1
2025-01-12,MX,Ether,1
2025-01-19,MX,Ether,1
2025-01-26,MX,Ether,1
2025-02-02,MX,Ether,1
2025-02-09,MX,Ether,1
2025-02-16,MX,Ether,1
2025-02-23,MX,Ether,1
2025-03-02,MX,Ether,1
2025-03-09,MX,Ether,1
2025-03-16,MX,Ether,1
2025-03-23,MX,Ether,1
2025-03-30,MX,Ether,1
2025-04-06,MX,Ether,1
2025-04-13,MX,Ether,1
2025-04-20,MX,Ether,1
2025-04-27,MX,Ether,1
2025-05-04,MX,Ether,1
2025-05-11,MX,Ether,1
2025-05-18,MX,Ether,1
2025-05-25,MX,Ether,1
2025-06-01,MX,Ether,1
2025-06-08,MX,Ether,1
2025-06-15,MX,Ether,1
2025-06-22,MX,Ether,1
2025-06-29,MX,Ether,1
2025-07-06,MX,Ether,1
2025-07-13,MX,Ether,1
2025-07-20,MX,Ether,1
2025-07-27,MX,Ether,1
2025-08-03,MX,Ether,1
2025-08-10,MX,Ether,1
2025-08-17,MX,Ether,1
2025-08-24,MX,Ether,1
2025-08-31,MX,Ether,1
2025-09-07,MX,Ether,1
2025-09-14,MX,Ether,0
2025-09-21,MX,Ether,1
2025-09-28,MX,Ether,1
2025-10-05,MX,Ether,1
2020-10-11,MX,Tether,0
2020-10-18,MX,Tether,0
2020-10-25,MX,Tether,0
2020-11-01,MX,Tether,0
2020-11-08,MX,Tether,0
2020-11-15,MX,Tether,0
2020-11-22,MX,Tether,0
2020-11-29,MX,Tether,0
2020-12-06,MX,Tether,0
2020-12-13,MX,Tether,0
2020-12-20,MX,Tether,0
2020-12-27,MX,Tether,0
2021-01-03,MX,Tether,1
2021-01-10,MX,Tether,1
2021-01-17,MX,Tether,0
2021-01-24,MX,Tether,0
2021-01-31,MX,Tether,0
2021-02-07,MX,Tether,0
2021-02-14,MX,Tether,1
2021-02-21,MX,Tether,0
2021-02-28,MX,Tether,0
2021-03-07,MX,Tether,0
2021-03-14,MX,Tether,0
2021-03-21,MX,Tether,0
2021-03-28,MX,Tether,0
2021-04-04,MX,Tether,0
2021-04-11,MX,Tether,0
2021-04-18,MX,Tether,1
2021-04-25,MX,Tether,0
2021-05-02,MX,Tether,0
2021-05-09,MX,Tether,1
2021-05-16,MX,Tether,1
2021-05-23,MX,Tether,1
2021-05-30,MX,Tether,1
2021-06-06,MX,Tether,0
2021-06-13,MX,Tether,0
2021-06-20,MX,Tether,0
2021-06-27,MX,Tether,0
2021-07-04,MX,Tether,0
2021-07-11,MX,Tether,1
2021-07-18,MX,Tether,1
2021-07-25,MX,Tether,0
2021-08-01,MX,Tether,0
2021-08-08,MX,Tether,0
2021-08-15,MX,Tether,0
2021-08-22,MX,Tether,0
2021-08-29,MX,Tether,0
2021-09-05,MX,Tether,0
2021-09-12,MX,Tether,1
2021-09-19,MX,Tether,0
2021-09-26,MX,Tether,0
2021-10-03,MX,Tether,0
2021-10-10,MX,Tether,0
2021-10-17,MX,Tether,0
2021-10-24,MX,Tether,0
2021-10-31,MX,Tether,0
2021-11-07,MX,Tether,0
2021-11-14,MX,Tether,0
2021-11-21,MX,Tether,0
2021-11-28,MX,Tether,0
2021-12-05,MX,Tether,0
2021-12-12,MX,Tether,0
2021-12-19,MX,Tether,0
2021-12-26,MX,Tether,0
2022-01-02,MX,Tether,1
2022-01-09,MX,Tether,1
2022-01-16,MX,Tether,1
2022-01-23,MX,Tether,1
2022-01-30,MX,Tether,1
2022-02-06,MX,Tether,0
2022-02-13,MX,Tether,0
2022-02-20,MX,Tether,1
2022-02-27,MX,Tether,0
2022-03-06,MX,Tether,0
2022-03-13,MX,Tether,0
2022-03-20,MX,Tether,0
2022-03-27,MX,Tether,0
2022-04-03,MX,Tether,0
2022-04-10,MX,Tether,1
2022-04-17,MX,Tether,1
2022-04-24,MX,Tether,0
2022-05-01,MX,Tether,0
2022-05-08,MX,Tether,1
2022-05-15,MX,Tether,1
2022-05-22,MX,Tether,1
2022-05-29,MX,Tether,1
2022-06-05,MX,Tether,0
2022-06-12,MX,Tether,0
2022-06-19,MX,Tether,1
2022-06-26,MX,Tether,0
2022-07-03,MX,Tether,0
2022-07-10,MX,Tether,0
2022-07-17,MX,Tether,0
2022-07-24,MX,Tether,0
2022-07-31,MX,Tether,1
2022-08-07,MX,Tether,0
2022-08-14,MX,Tether,0
2022-08-21,MX,Tether,0
2022-08-28,MX,Tether,0
2022-09-04,MX,Tether,0
2022-09-11,MX,Tether,0
2022-09-18,MX,Tether,0
2022-09-25,MX,Tether,0
2022-10-02,MX,Tether,0
2022-10-09,MX,Tether,0
2022-10-16,MX,Tether,0
2022-10-23,MX,Tether,0
2022-10-30,MX,Tether,0
2022-11-06,MX,Tether,0
2022-11-13,MX,Tether,0
2022-11-20,MX,Tether,0
2022-11-27,MX,Tether,0
2022-12-04,MX,Tether,0
2022-12-11,MX,Tether,0
2022-12-18,MX,Tether,0
2022-12-25,MX,Tether,0
2023-01-01,MX,Tether,0
2023-01-08,MX,Tether,0
2023-01-15,MX,Tether,0
2023-01-22,MX,Tether,0
