Ticker,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,0.10721699893474579,0.10759100317955017,0.1049790009856224,0.10663499683141708,562197282,379.1922302246094,381.2087707519531,371.3541259765625,377.44183349609375,14964182545,11426.6025390625,11569.9140625,11303.603515625,11495.349609375,24487233058,0.0026499999221414328,0.002650999929755926,0.0025690000038594007,0.002592999953776598,83794207,0.24940599501132965,0.2502779960632324,0.24401099979877472,0.24593999981880188,1652788747
2020-10-16,0.10674799978733063,0.1073170006275177,0.10253699868917465,0.10406400263309479,553561875,377.8684997558594,380.0215148925781,362.597412109375,366.22900390625,14670784817,11502.828125,11540.0615234375,11223.0126953125,11322.123046875,25635480772,0.0025949999690055847,0.002615999896079302,0.0025569999124854803,0.002612000098451972,117882236,0.24605800211429596,0.24759000539779663,0.23849999904632568,0.24044300615787506,1656312547
2020-10-17,0.1042179986834526,0.10697899758815765,0.10336600244045258,0.10610400140285492,472005227,366.0157165527344,369.76812744140625,364.489013671875,368.8559265136719,10951115359,11322.123046875,11386.26171875,11285.345703125,11358.1015625,19130430174,0.0026030000299215317,0.002612000098451972,0.0025730000343173742,0.002581000095233321,125692391,0.2405409961938858,0.24271899461746216,0.23921799659729004,0.24093100428581238,1173505925
2020-10-18,0.10604400187730789,0.10760100185871124,0.10530500113964081,0.10738799721002579,432851135,368.7275390625,378.59765625,368.129150390625,378.21368408203125,11047103109,11355.982421875,11483.359375,11347.578125,11483.359375,18283314340,0.002581000095233321,0.002601000014692545,0.0025770000647753477,0.0025859999004751444,72298803,0.24085000157356262,0.24341900646686554,0.2405710071325302,0.24222500622272491,1238720802
2020-10-19,0.10741599649190903,0.11092100292444229,0.10618799924850464,0.10867699980735779,490775170,378.4696350097656,383.3176574707031,373.7022705078125,379.93560791015625,12811242092,11495.0380859375,11799.0927734375,11408.2900390625,11742.037109375,23860769928,0.0025949999690055847,0.002618999918922782,0.002572000026702881,0.002589999930933118,91049562,0.24230800569057465,0.24947099387645721,0.24049699306488037,0.24596400558948517,1435700560
2020-10-20,0.1086139976978302,0.10884100198745728,0.10122600197792053,0.1024940013885498,707955236,379.7196960449219,380.7610168457031,367.60107421875,369.13690185546875,13741586582,11745.974609375,11999.91796875,11681.48046875,11916.3349609375,30915821592,0.002589999930933118,0.0026229999493807554,0.002581000095233321,0.002601000014692545,65577101,0.24592700600624084,0.24940000474452972,0.24256199598312378,0.24357299506664276,1526376279
2020-10-21,0.10251899808645248,0.10828600078821182,0.10183099657297134,0.10618700087070465,779410099,369.0594177246094,400.62725830078125,368.72796630859375,392.1899719238281,20241324322,11913.0771484375,13184.56640625,11900.9287109375,12823.689453125,43414712626,0.0026000000070780516,0.0026569999754428864,0.0025939999613910913,0.002630000002682209,45017115,0.2434850037097931,0.2552269995212555,0.24317899346351624,0.2516149878501892,2306399543
2020-10-22,0.10605599731206894,0.11241400241851807,0.10548199713230133,0.11057200282812119,933335641,391.4886169433594,420.14166259765625,391.27630615234375,413.7729797363281,15772846485,12801.6357421875,13161.59375,12717.09375,12965.8916015625,34729759598,0.002626999979838729,0.0026889999862760305,0.002623999956995249,0.0026549999602138996,44976453,0.2513349950313568,0.26346299052238464,0.2512330114841461,0.25680699944496155,2827483708
2020-10-23,0.11069799959659576,0.11175400018692017,0.10560200363397598,0.10808300226926804,1110973427,414.05133056640625,418.9599304199219,403.08203125,409.7666931152344,14256222052,12971.548828125,13015.9619140625,12752.6474609375,12931.5390625,28974975003,0.0026489999145269394,0.0026910000015050173,0.0026370000559836626,0.0026469998992979527,46856082,0.25732600688934326,0.25930601358413696,0.2507129907608032,0.2548789978027344,2125734863
2020-10-24,0.10808300226926804,0.1096619963645935,0.10753899812698364,0.10807500034570694,868194497,409.7672424316406,416.59967041015625,407.8517150878906,412.4576110839844,12201739194,12931.57421875,13145.06640625,12885.7470703125,13108.0625,24542317940,0.0026469998992979527,0.002652999944984913,0.002623999956995249,0.0026459998916834593,44797614,0.2548789978027344,0.25764501094818115,0.25283199548721313,0.2564310133457184,1590424952
2020-10-25,0.10807500034570694,0.1087300032377243,0.10617800056934357,0.10635100305080414,722743351,412.4576416015625,417.1592102050781,405.35064697265625,406.2177734375,10890207469,13108.0634765625,13329.18359375,12910.0615234375,13031.173828125,24406920575,0.002644999884068966,0.0026759998872876167,0.002623999956995249,0.002652999944984913,58532388,0.2564310133457184,0.25714701414108276,0.25174498558044434,0.25321298837661743,1484930709
2020-10-26,0.10635100305080414,0.10738100111484528,0.09943000227212906,0.10309699922800064,880221833,406.2179870605469,411.2798767089844,383.78289794921875,393.8883056640625,15155684229,13031.201171875,13225.2978515625,12822.3828125,13075.248046875,29461458313,0.002652999944984913,0.0028929999098181725,0.0026360000483691692,0.002678999910131097,122152251,0.25321298837661743,0.2584080100059509,0.2440820038318634,0.2486879974603653,2390566065
2020-10-27,0.10309699922800064,0.10548999905586243,0.10206999629735947,0.10282699763774872,913522302,393.88818359375,409.7728576660156,390.60845947265625,403.9970397949219,13940434102,13075.2421875,13759.6689453125,13060.837890625,13654.21875,33749878156,0.002678999910131097,0.002707999898120761,0.002630000002682209,0.00267699989490211,78927089,0.2486879974603653,0.2538740038871765,0.2480970025062561,0.2528989911079407,2273574015
